Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-162.947	0	-162.947	3.34263	0.0796191	0.0205936	0.0810747	0.241636	0.0284648	0.0158977	0.088959	0.0854276	0.0243861	0.0468631	0.0694734	0.00694558	0.0170331	0.01567	0.14849	0.148083	0.314131	0.00186381	0.0534737	0.0604979	0.126056	0.299491	0.0300516	0.0668967	0.112078	0.00864868	0.0352824	0.0519042	0.122483	0.0899245	0.347878	0.206957	0.0846606	0.0584136	0.288569	0.13988	0.155613	0.0485506	0.0250564	0.0693104	0.180028	0.0236866	0.00568644	0.218408	0.118165	0.0418717	0.291833	0.0981631	0.231559	0.414146	0.748892	1.08375	1.75321	0.128639	0.101179	0.200942	0.569241	4.12569
10	-161.333	0	-161.333	2.98326	0.228945	0.037544	0.00455929	0.254101	0.00493666	0.0158977	0.171604	0.0323135	0.351809	0.148305	0.00427008	0.196561	0.0271948	0.00840406	0.14849	0.0900119	0.439368	0.101943	0.0769654	0.101323	0.0978075	0.0502861	0.150344	0.00746804	0.112078	0.00902747	0.00764064	0.0519042	0.00748823	0.0863746	0.0646929	0.288324	0.0179296	0.0584136	0.020788	0.107331	0.147561	0.0914062	0.0850981	0.0693104	0.103436	0.0332671	0.0166318	0.137148	0.0612473	0.0343631	0.458885	0.0805602	0.227796	0.387962	0.730597	1.08243	1.79901	0.101544	0.185368	0.158619	0.554469	4.12915
20	-158.278	0	-158.278	59.5211	0.196855	0.037544	0.0883509	0.0585959	0.0159077	0.0420555	0.285166	0.0853089	0.0612225	0.00977143	0.0295018	0.0158424	0.124026	0.140381	0.0754337	0.0519357	0.0856081	0.000700291	0.0360075	0.0559474	0.0955279	0.149151	0.150344	0.00621081	0.280579	0.116447	0.0868119	0.110103	0.0665042	0.0863746	0.00405555	0.288324	0.0179296	0.0584136	0.00657707	0.0722695	0.147561	0.0104313	0.14199	0.144475	0.0622695	0.0827902	0.0518332	0.108877	0.0130175	0.0410594	0.561549	0.0385911	0.236906	0.840387	0.953255	1.03715	1.1692	0.186022	0.240173	0.139827	0.433978	3.73313
30	-153.02	0	-153.02	21.4079	0.0599615	0.037544	0.018428	0.0648982	0.198731	0.0341655	0.205384	0.0434829	0.0612225	0.00977143	0.0271292	0.0452781	0.0174876	0.0177781	0.0754337	0.0519357	0.285682	0.00315793	0.118985	0.0559474	0.0955279	0.0623785	0.201994	0.0134512	0.201291	0.0272816	0.0197233	0.193976	0.0672918	0.0863746	0.0401424	0.0227273	0.266171	0.0996865	0.144157	0.0722695	0.147561	0.00762787	0.335123	0.144475	0.2856	0.00512979	0.113085	0.060406	0.0143892	0.139332	0.358895	0.0914822	0.335495	0.740201	0.917141	1.05624	1.28642	0.0895671	0.298667	0.162344	0.449422	4.08545
40	-159.583	0	-159.583	21.4079	0.0793331	0.037544	0.0934162	0.0648982	0.0124342	0.0469045	0.166674	0.0397571	0.0279564	0.00585158	0.0768619	0.0742451	0.00834737	0.0177781	0.0432415	0.206091	0.45957	0.129187	0.0901893	0.282029	0.195128	0.0315775	0.112176	0.0754861	0.193026	0.0234118	0.0326472	0.12637	0.0672918	0.0539578	0.054296	0.0866254	0.0877808	0.00769643	0.135718	0.012218	0.249599	0.00762787	0.0364163	0.136191	0.152929	0.067388	0.113085	0.0123797	0.0623177	0.1981	0.431832	0.043845	0.251525	0.740201	0.917141	1.05624	1.28642	0.232586	0.203439	0.170412	0.393564	4.02095
50	-146.705	0	-146.705	4.90639	0.0793331	0.0207142	0.0199484	0.04664	0.0193853	0.0898668	0.166674	0.0873416	0.0475365	0.017824	0.0333704	0.014741	0.030005	0.229775	0.0597245	0.150793	0.079185	0.0849482	0.0646545	0.0596226	0.195128	0.152983	0.112176	0.0754861	0.093428	0.0549708	0.0667336	0.000212038	0.122883	0.0539578	0.0125675	0.0418144	0.0557379	0.0989314	0.0545145	0.0213745	0.249599	0.00762787	0.0364163	0.0913926	0.152929	0.0351575	0.023299	0.0262594	0.017831	0.0418769	0.467444	0.110091	0.336498	0.498142	0.801682	1.08346	1.61671	0.213082	0.186379	0.156122	0.444418	3.2114
60	-155.907	0	-155.907	13.569	0.0875037	0.054173	0.0543136	0.0635679	0.0771444	0.0898668	0.166674	0.027911	0.0586865	0.0122054	0.0280184	0.014741	0.0697916	0.0172561	0.0880466	0.01907	0.6709	0.00540815	0.00192451	0.389082	0.0555283	0.208726	0.112176	0.00565836	0.093428	0.0626653	0.0863126	0.156879	0.0157709	0.0474737	0.0024182	0.0253337	0.0557379	0.0669073	0.0540637	0.149163	0.0975809	0.123904	0.0307561	0.0809889	0.152929	0.0333981	0.0563715	0.0168727	0.0114571	0.0622141	0.515835	0.0557469	0.337874	0.679084	0.892132	1.06595	1.36283	0.325004	0.305586	0.133637	0.235772	3.77046
70	-160.091	0	-160.091	6.18284	0.0524852	0.00256164	0.0784075	0.0635679	0.00517681	0.105263	0.100511	0.0678752	0.0586865	0.162687	0.180931	0.0043947	0.0101577	0.0743958	0.0594117	0.0244324	0.126889	0.00540815	0.195071	0.114477	0.0555283	0.208726	0.0739477	0.00504769	0.093428	0.0523964	0.0631695	0.141417	0.114108	0.0978985	0.0493229	0.0442774	0.0456292	0.0669073	0.0278637	0.23519	0.0975809	0.00914859	0.00182674	0.0239681	0.152929	0.295523	0.172118	0.00880584	0.00597945	0.0324694	0.567614	0.0290942	0.356037	0.544847	0.827727	1.08085	1.54658	0.276489	0.184107	0.136267	0.403137	3.62074
80	-159.607	0	-159.607	6.55748	0.0679447	0.166547	0.00835755	0.0823326	0.00632234	0.105263	0.226708	0.0892737	0.0432992	0.0563814	0.0717722	0.0682621	0.01286	0.00801182	0.0594117	0.110653	0.321029	0.00540815	0.0143838	0.191722	0.0555283	0.152388	0.0620294	0.159391	0.0545803	0.0523964	0.0631695	0.141417	0.0687852	0.0978985	0.0836348	0.0442774	0.0393015	0.0610266	0.0278879	0.0543248	0.18447	0.19677	0.0279221	0.240625	0.152929	0.0295811	0.160431	0.0397096	0.00945739	0.119408	0.371733	0.155558	0.304133	0.556215	0.833755	1.07998	1.53005	0.240731	0.239017	0.176909	0.343343	3.92671
90	-160.944	0	-160.944	94.514	0.0679447	0.178003	0.00835755	0.0207187	0.105925	0.29028	0.20146	0.120044	0.0625569	0.0563814	0.0245915	0.0682621	0.01286	0.00332331	0.0121717	0.0262017	0.0733939	0.0168243	0.0227977	0.21282	0.0416068	0.152388	0.15671	0.0871408	0.0173625	0.0385942	0.0631695	0.141417	0.000576201	0.0978985	0.0836348	0.0442774	0.00230102	0.0398133	0.0714998	0.0180316	0.224665	0.0443216	0.00336453	0.0392496	0.290811	0.0762024	0.111097	0.143862	0.0370175	0.0548475	0.549644	0.0800872	0.134542	0.872449	0.96365	1.03031	1.13359	0.154137	0.190491	0.158471	0.496901	3.43105
100	-165.133	0	-165.133	37.2822	0.0821367	0.178003	0.0441969	0.248572	0.0110454	0.079532	0.289951	0.0273273	0.0625569	0.0563814	0.0245915	0.00964559	0.0639703	0.0450973	0.0501539	0.26578	0.266471	0.038407	0.111816	0.120388	0.0906392	0.152388	0.15671	0.0878988	0.0173625	0.0340002	0.0631695	0.141417	0.0673094	0.0978985	0.159581	0.190344	0.0389722	0.0398133	0.0646918	0.0180316	0.0693818	0.082583	0.0259663	0.0157537	0.290811	0.0869045	0.185403	0.0318004	0.00818265	0.0663885	0.318514	0.048929	0.526186	0.80018	0.939445	1.04525	1.21512	0.11738	0.309694	0.154171	0.418755	4.25305
