Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-13155.5	-13075.1	-80.4351	0.255832	0.453738	0.0181051	0.145139	0.281406	0.207315	0.106923	0.380797	0.435668	0.276386	0.321923	0.381899	0.50981	0.317274	0.337784	0.193579	0.313571	0.218306	0.477229	0.274818	0.260537	0.390213	0.50186	0.233066	0.024977	0.122705	0.0813319	0.33032	0.110654	0.0636318	0.0302108	0.121314	0.170737	0.033241	0.283628	0.0767053	0.0870227	0.269343	0.19804	0.110051	0.0520387	0.313625	0.131098	0.305608	0.0177485	0.432433	0.0279681	0.0314384	0.419921	0.0704902	0.00239479	0.0709331	0.513625	3.41305	0.360106	0.359315	0.0609659	0.219613	9.95363
10	-13158.5	-13078.1	-80.4273	0.266952	0.390778	0.04253	0.155522	0.238795	0.285218	0.0855804	0.280592	0.313801	0.253103	0.359247	0.371242	0.517991	0.341729	0.324909	0.166625	0.321139	0.24952	0.505889	0.269928	0.411117	0.313452	0.534218	0.147017	0.0318553	0.172045	0.0851593	0.32331	0.147831	0.084428	0.0349271	0.134879	0.153083	0.0359022	0.26443	0.14396	0.112056	0.333363	0.121685	0.121651	0.0997214	0.282555	0.14347	0.246377	0.0171765	0.451442	0.0299134	0.0335561	0.42799	0.0399222	0.00299769	0.079177	0.535898	3.38193	0.356397	0.362863	0.0607623	0.219978	9.95263
20	-13166.3	-13096.1	-70.239	0.255973	0.446116	0.128233	0.205091	0.186684	0.284184	0.144924	0.309772	0.308866	0.220963	0.257579	0.389102	0.447379	0.253261	0.26698	0.167329	0.304647	0.256041	0.4724	0.272245	0.314536	0.283586	0.438403	0.181812	0.0318553	0.0789691	0.0887918	0.221399	0.170059	0.102984	0.0334904	0.0494062	0.16223	0.00352234	0.260305	0.105917	0.109458	0.179208	0.0950369	0.115835	0.0444997	0.297161	0.0816237	0.162129	0.0155869	0.453207	0.0271452	0.0219616	0.384776	0.0973238	0.00240191	0.0710363	0.513914	3.41265	0.361554	0.365483	0.0569426	0.216021	8.93401
30	-13156.7	-13088.2	-68.5231	0.274281	0.43817	0.0393741	0.0875933	0.174046	0.230388	0.130093	0.229261	0.309451	0.267043	0.252193	0.365276	0.548799	0.354763	0.277575	0.117788	0.275192	0.18606	0.525722	0.154598	0.265924	0.279603	0.470988	0.14192	0.0399382	0.147321	0.101686	0.425285	0.117572	0.102984	0.00407471	0.0626609	0.0935168	0.0205477	0.237971	0.0735868	0.114658	0.2446	0.137398	0.0906879	0.0616454	0.226665	0.0866182	0.250828	0.02422	0.464211	0.0277688	0.0224662	0.398441	0.0628928	0.00344135	0.0847029	0.549974	3.36188	0.366778	0.357014	0.0562414	0.219967	8.76206
40	-13163.7	-13082.8	-80.8875	0.261641	0.40392	0.112121	0.121705	0.239594	0.183055	0.15743	0.350008	0.52613	0.25606	0.388155	0.361305	0.421519	0.281157	0.350094	0.168736	0.33715	0.205007	0.528317	0.182632	0.41015	0.338436	0.472302	0.198483	0.0789252	0.104856	0.1197	0.437515	0.124924	0.150878	0.0936495	0.0774582	0.0357927	0.0113427	0.200872	0.0520473	0.173353	0.265208	0.171565	0.0901235	0.0902419	0.362527	0.0866182	0.27769	0.0215165	0.460325	0.0279547	0.0276436	0.408124	0.0544357	0.00269928	0.0752165	0.525401	3.39668	0.345856	0.36881	0.0580997	0.227235	9.99875
50	-13160.8	-13082.9	-77.888	0.278887	0.433703	0.0467856	0.14697	0.207016	0.296287	0.134014	0.398057	0.370164	0.246515	0.37601	0.329442	0.483449	0.24326	0.350094	0.134836	0.240994	0.228441	0.447396	0.217902	0.360436	0.295904	0.539479	0.167206	0.013895	0.120899	0.0735449	0.463713	0.0932359	0.0234811	0.0577868	0.0774582	0.0788981	0.0406841	0.329049	0.0826321	0.0962053	0.310377	0.16773	0.090801	0.124131	0.424833	0.0866182	0.248128	0.0184536	0.422454	0.0345363	0.0211576	0.413613	0.0897856	0.00373928	0.0882072	0.558582	3.34947	0.35593	0.36783	0.0566177	0.219622	9.69846
60	-13153.5	-13084.9	-68.6248	0.264767	0.431965	0.0600404	0.181623	0.163837	0.245455	0.130296	0.232837	0.41768	0.24577	0.397043	0.328382	0.404469	0.265926	0.37297	0.146114	0.308465	0.199807	0.429218	0.202236	0.264333	0.26145	0.51986	0.120201	0.00446535	0.112453	0.0735449	0.255673	0.0809658	0.0816151	0.0209325	0.0774582	0.0876629	0.0353612	0.285028	0.106437	0.0945357	0.212747	0.0998412	0.130964	0.0517841	0.194915	0.140179	0.295881	0.0172628	0.476711	0.0323076	0.036899	0.386923	0.0498964	0.00287255	0.0775424	0.531609	3.38798	0.350584	0.371853	0.05392	0.223643	8.77242
70	-13152.8	-13090.2	-62.5308	0.270017	0.339536	0.0699767	0.131703	0.223512	0.211323	0.135201	0.255275	0.267268	0.235664	0.327125	0.359096	0.380868	0.29118	0.258559	0.0979454	0.23068	0.192248	0.419477	0.169528	0.30553	0.267017	0.552523	0.111763	0.0106475	0.110426	0.06276	0.333607	0.0523248	0.0964402	0.0263808	0.100959	0.0921274	0.0304555	0.328418	0.0698884	0.0664996	0.254334	0.148158	0.0790934	0.0250406	0.28235	0.0341414	0.125867	0.0169797	0.468892	0.0317777	0.0362938	0.355375	0.0906817	0.00317869	0.0814797	0.541841	3.3735	0.348896	0.37282	0.0540601	0.224224	8.16292
80	-13152.3	-13077.6	-74.6854	0.247158	0.371043	0.0773428	0.194941	0.197768	0.195851	0.197932	0.296729	0.375308	0.20266	0.335337	0.442209	0.359613	0.303256	0.361751	0.120058	0.294827	0.219568	0.459208	0.226274	0.318977	0.277509	0.55377	0.151117	0.11457	0.2071	0.0543896	0.386364	0.0963474	0.0482679	0.0175236	0.113603	0.0929281	0.0304555	0.206749	0.0873281	0.14117	0.232415	0.175894	0.0880545	0.0985935	0.245952	0.0673621	0.340711	0.0148929	0.494042	0.0227356	0.0320978	0.356695	0.0795373	0.00198192	0.0646451	0.495453	3.43792	0.36301	0.364738	0.0528882	0.219363	9.37883
90	-13159.2	-13085.6	-73.5845	0.257194	0.462863	0.0451397	0.171848	0.147436	0.159629	0.142513	0.260044	0.346084	0.188046	0.358732	0.302611	0.505118	0.341233	0.367133	0.169702	0.27848	0.193337	0.467678	0.140341	0.396703	0.246097	0.504186	0.149649	0.0253395	0.0836149	0.091413	0.289346	0.0961753	0.133594	0.0182363	0.116118	0.0899676	0.0314811	0.321368	0.150305	0.0994696	0.242233	0.216129	0.0737544	0.0437867	0.35753	0.098023	0.346053	0.0169286	0.514712	0.0254971	0.0310385	0.34436	0.067464	0.00246411	0.0719319	0.516412	3.40919	0.369435	0.361655	0.055801	0.213109	9.26854
