Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-15736.4	-15719.8	-16.6461	0.10931	0.10413	0.102657	0.0878975	0.153358	0.0927098	0.069284	0.110396	0.0880263	0.0852796	0.0771233	0.134336	0.0680922	0.0867744	0.122159	0.109099	0.171813	0.0846452	0.0961547	0.121351	0.0706177	0.10464	0.0954445	0.0234229	0.0481317	0.0333125	0.0418514	0.0151481	0.0470585	0.0569938	0.0352492	0.0185051	0.0259817	0.0608832	0.0136504	0.0709174	0.0273179	0.0197848	0.0649938	0.0283418	0.0351042	0.0375885	0.0333271	3.08286
10	-15724.2	-15708.4	-15.8326	0.0707991	0.097572	0.120397	0.0672073	0.125492	0.0915123	0.0992599	0.119876	0.0817962	0.0919133	0.0641137	0.157424	0.0859912	0.102609	0.121765	0.106037	0.1529	0.0778169	0.123272	0.12538	0.0532302	0.0931387	0.0783366	0.0143052	0.0652688	0.0244296	0.01601	0.0151481	0.0400915	0.0383011	0.0307888	0.0274607	0.0259817	0.0678249	0.0361781	0.0766901	0.0286041	0.0245707	0.0347712	0.0315802	0.0199337	0.0367009	0.0390304	3.00151
20	-15724.2	-15708	-16.2087	0.0804004	0.117456	0.115012	0.0672073	0.122377	0.0792634	0.0841456	0.107137	0.10352	0.0711453	0.0694965	0.120606	0.0752918	0.121147	0.127382	0.122335	0.136941	0.08897	0.102827	0.128345	0.058498	0.104425	0.0775694	0.0281979	0.0473465	0.031753	0.0245809	0.0136487	0.0453298	0.0464747	0.0334528	0.0392921	0.0197496	0.0615762	0.0256976	0.0712392	0.0285714	0.026735	0.0436275	0.0452979	0.0293317	0.0440458	0.0516725	3.03912
30	-15731.3	-15715.6	-15.6754	0.0884099	0.115183	0.0972736	0.0655405	0.127498	0.0816848	0.0831155	0.112968	0.0972814	0.0626563	0.0651816	0.148325	0.0836731	0.0806	0.0844888	0.13889	0.155862	0.086901	0.1068	0.128345	0.0403266	0.100362	0.0865408	0.020925	0.0618359	0.0339681	0.0337094	0.0152891	0.0561454	0.0274536	0.0236573	0.0394678	0.00798136	0.0498554	0.0194325	0.09087	0.036127	0.0267892	0.0442623	0.0379065	0.0376951	0.0467462	0.0377681	2.98579
40	-15730.1	-15712.5	-17.5872	0.115221	0.108051	0.122425	0.0670683	0.139604	0.118729	0.0761692	0.119853	0.103395	0.0765815	0.0785916	0.162869	0.0731418	0.0895852	0.108166	0.132794	0.193175	0.0750592	0.11151	0.119275	0.0780133	0.106555	0.0931911	0.020925	0.0672188	0.0362745	0.026991	0.0190759	0.0501826	0.0273788	0.0167234	0.020848	0.0106791	0.057028	0.0199461	0.0972265	0.0254212	0.0268608	0.0442623	0.0331166	0.0249562	0.0244285	0.0584042	3.17697
50	-15721.8	-15706.1	-15.7208	0.0889786	0.0982024	0.125263	0.062449	0.119175	0.106295	0.0641594	0.0947345	0.108491	0.0842423	0.0825904	0.146444	0.0840712	0.0931676	0.117026	0.116223	0.158734	0.0884242	0.0882468	0.13692	0.0679441	0.0919294	0.0642553	0.0216453	0.0523276	0.0281911	0.0213291	0.0204457	0.0419085	0.0397248	0.0325781	0.021367	0.0158621	0.0490581	0.0199461	0.0892672	0.0256476	0.0226836	0.052966	0.0341681	0.0249562	0.0331322	0.0551633	2.99033
60	-15721.6	-15704.9	-16.7813	0.0835801	0.107054	0.122831	0.075911	0.114261	0.103435	0.0955769	0.117518	0.113086	0.0663877	0.0734432	0.133157	0.079818	0.0946708	0.110139	0.114041	0.155737	0.086753	0.112459	0.141052	0.0792015	0.100425	0.0798275	0.036552	0.0696362	0.0194169	0.0244187	0.0259563	0.0405191	0.0380892	0.0296877	0.0335768	0.0206336	0.0570613	0.0245145	0.0809375	0.0250154	0.0249351	0.0486655	0.0350423	0.0204449	0.0407592	0.040156	3.09638
70	-15731	-15714.8	-16.2777	0.0872319	0.0837858	0.0992429	0.063416	0.114168	0.104597	0.0877457	0.103252	0.125092	0.0849337	0.0800407	0.159839	0.0683675	0.0981307	0.121994	0.12451	0.166438	0.0748785	0.103435	0.13431	0.0623859	0.089958	0.0870175	0.0297247	0.081174	0.0228857	0.0344667	0.016614	0.0641229	0.037682	0.0210647	0.0231162	0.0248812	0.0498583	0.0351562	0.0809375	0.0143212	0.0216012	0.040088	0.0268443	0.0209887	0.03118	0.0445464	3.04602
80	-15718.5	-15702.9	-15.635	0.105423	0.117235	0.113745	0.0814718	0.125594	0.0897109	0.0853864	0.122918	0.10261	0.0786886	0.0642066	0.127291	0.0702491	0.100642	0.11825	0.102063	0.16029	0.0650901	0.11064	0.129809	0.061765	0.0887555	0.0740075	0.027313	0.0521932	0.0268292	0.0187345	0.0189295	0.0424362	0.037682	0.0176628	0.0243671	0.017553	0.0622765	0.0265636	0.0779822	0.0248428	0.0320133	0.04832	0.0361275	0.0242608	0.0243554	0.045465	2.98175
90	-15724.5	-15708.1	-16.4079	0.0733797	0.115236	0.115054	0.0650152	0.141461	0.099549	0.0835438	0.125143	0.087491	0.0652321	0.0896695	0.154469	0.0634282	0.0970457	0.102639	0.129184	0.161571	0.0581503	0.0991363	0.122404	0.061765	0.0996245	0.0810765	0.029748	0.0509169	0.0413355	0.0322524	0.0225818	0.0566618	0.0429099	0.0361509	0.0289342	0.0155362	0.0601838	0.0176033	0.0850783	0.026486	0.0205044	0.0370116	0.0353308	0.0302007	0.0452898	0.0530635	3.05905
