Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
0	-22051.5	-21979	-72.4799	1.20265	0.761151	0.561592	1.13629	0.8442	0.344419	0.72222	0.00184189	0.930152	0.149406	0.396454	0.00435591	0.660484	0.0256039	0.460243	0.0815314	0.41366	0.620529	0.0623202	0.398953	0.569828	10.3479
1	-22048.8	-21977.3	-71.5454	1.13348	0.547145	0.64548	1.17849	0.862027	0.259763	0.874916	0.00276653	0.976938	0.137115	0.485292	0.00210824	0.716706	0.355991	0.456042	0.0825013	0.545723	0.438032	0.112908	0.173277	0.267739	10.2544
2	-22055.4	-21987.2	-68.17	1.01293	0.456077	0.718505	1.17888	0.813551	0.236199	0.673308	0.00017243	0.8455	0.177314	0.488964	0.00317386	0.683463	0.113866	0.406914	0.156582	0.439824	0.441956	0.24027	0.211025	0.618432	9.9169
3	-22048.2	-21977.1	-71.0881	0.964587	0.512033	0.723359	1.22946	0.86121	0.286818	1.02813	0.000201901	0.867393	0.135036	0.457251	0.00327338	0.561346	0.135486	0.431208	0.150998	0.394548	0.647905	0.0806302	0.310658	0.427176	10.2087
4	-22051.5	-21981.3	-70.1306	1.10013	0.503505	0.732996	1.21232	0.871595	0.248184	1.00237	0.00164453	0.884095	0.142548	0.473255	0.00368253	0.468446	0.143375	0.479343	0.283801	0.477847	0.572362	0.0468874	0.143718	0.320846	10.113
5	-22046.3	-21974.9	-71.4908	1.21771	0.692956	0.621131	1.33064	0.951655	0.342468	0.801831	0.000115948	0.948711	0.16622	0.380432	0.00449566	0.593692	0.238202	0.422962	0.107143	0.329079	0.402957	0.137724	0.0604044	0.498441	10.249
6	-22049.5	-21974.7	-74.8007	1.15004	0.666124	0.584232	1.27913	0.971762	0.283464	1.1922	0.00116447	0.862007	0.144225	0.376127	0.00129489	0.506642	0.227785	0.465004	0.177883	0.533563	0.539801	0.153436	0.0336243	0.430457	10.58
7	-22056.4	-21982.1	-74.3078	1.20944	0.605809	0.686856	1.08475	1.04162	0.314858	0.898855	0.00407899	0.801842	0.187605	0.513958	0.00585071	0.709418	0.4767	0.441538	0.0126813	0.396697	0.389698	0.157646	0.127714	0.463063	10.5307
8	-22045.2	-21973.2	-72.0757	1.3113	0.576659	0.622468	1.29808	0.79263	0.26193	0.902965	0.00267581	0.940459	0.157632	0.458605	0.00402526	0.530975	0.238566	0.420037	0.0948895	0.497045	0.587234	0.146407	0.11168	0.351206	10.3075
9	-22055.4	-21985.6	-69.8181	1.20984	0.438952	0.663658	1.09899	0.960942	0.352425	0.871398	0.00250488	0.827166	0.139974	0.342102	0.00337659	0.663052	0.174309	0.430573	0.00582981	0.408759	0.525275	0.30338	0.185887	0.473314	10.0817
