Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
0	-22125.3	-22051.7	-73.6548	1.18793	0.533588	0.758551	1.06374	0.798526	0.18926	1.05684	0.000190835	0.899878	0.127885	0.484239	0.00262281	0.427885	0.110616	0.019426	0.601155	0.562381	0.0592247	0.46275	0.668296	0.450387	10.4654
10	-22121.7	-22045	-76.664	1.28073	0.611326	0.70801	1.23615	0.83952	0.299641	0.991416	0.000190331	0.922681	0.116749	0.493457	0.00515235	0.179381	0.222362	0.0174933	0.564502	0.661212	0.206818	0.403024	0.56942	0.437065	10.7663
20	-22117.7	-22042.4	-75.2881	1.23393	0.545737	0.577976	1.26975	0.887896	0.232142	0.834935	0.000291002	0.997473	0.140429	0.507321	0.00427996	0.438986	0.102329	0.00527112	0.483265	0.76373	0.183951	0.403024	0.577517	0.438478	10.6287
30	-22120.1	-22045.1	-74.9305	1.14789	0.599011	0.658569	1.39222	0.818924	0.358241	0.858638	0.00226681	0.994217	0.155734	0.411076	7.1385e-05	0.54064	0.0934688	0.239436	0.483265	0.521413	0.00774445	0.254085	0.610647	0.445381	10.5929
40	-22118.6	-22040.6	-78.0427	1.33595	0.540561	0.824953	1.24306	0.92878	0.313564	0.848122	0.00414377	1.01332	0.161992	0.479877	0.00241802	0.393974	0.148262	0.267137	0.468883	0.6321	0.0398684	0.279275	0.54441	0.433527	10.9042
50	-22128.3	-22054	-74.3387	1.20336	0.562622	0.574031	1.00588	1.03078	0.295694	0.981673	0.00461481	1.05849	0.181396	0.361882	0.00296952	0.281968	0.110377	0.140788	0.371282	0.678264	0.123372	0.62434	0.511281	0.428721	10.5338
60	-22117	-22045.1	-71.9176	1.25518	0.60176	0.655227	1.12325	0.833626	0.294359	0.90356	0.0036821	0.91106	0.185146	0.469938	0.00149351	0.403826	0.0769859	0.167129	0.462482	0.56567	0.123372	0.330283	0.51906	0.404574	10.2917
70	-22120.2	-22048.7	-71.4667	1.05187	0.528492	0.639072	1.08485	0.867502	0.3561	0.908438	0.00386384	0.857608	0.128572	0.386509	0.00240051	0.403826	0.111774	0.0885056	0.444581	0.77746	0.17692	0.267674	0.709867	0.450677	10.2466
80	-22129.1	-22048.9	-80.268	1.22642	0.723569	0.626944	1.22001	0.986636	0.343892	1.021	0.00860852	0.857608	0.166952	0.366171	0.000703294	0.665476	0.0228547	0.135399	0.409728	0.676842	0.0580841	0.494895	0.649648	0.465249	11.1267
90	-22118.8	-22040.3	-78.4969	1.21357	0.545761	0.702285	1.43998	0.866836	0.292428	0.901515	0.00137519	1.01357	0.149881	0.375768	0.00157384	0.401355	0.132134	0.116488	0.571041	0.553838	0.169978	0.402089	0.668775	0.429354	10.9496
100	-22122.4	-22046.6	-75.7549	1.11283	0.580768	0.685345	1.13099	0.97403	0.252152	0.923303	0.00244253	0.804269	0.0995783	0.474483	0.000838551	0.401355	0.194535	0.0685439	0.526117	0.622341	0.169978	0.400536	0.808657	0.442298	10.6754
110	-22122.5	-22047.4	-75.1697	1.33329	0.523965	0.613223	1.35272	0.896915	0.309006	0.840955	0.00286348	0.843067	0.119388	0.469747	0.00631416	0.348118	0.186664	0.219272	0.36486	0.550483	0.120958	0.329907	0.706097	0.479056	10.6169
120	-22122.5	-22047.2	-75.2966	1.08253	0.507969	0.819893	1.39862	0.938428	0.305245	0.885836	0.00364413	0.87063	0.112416	0.35433	0.00162848	0.313374	0.1343	0.27989	0.409116	0.749269	0.0848121	0.379764	0.525827	0.472046	10.6296
