Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
0	-22123.9	-22049.2	-74.6902	1.22557	0.511057	0.606156	1.27423	1.002	0.359583	1.02859	0.0012743	0.862686	0.159918	0.359132	0.00328281	0.276957	0.500972	0.421381	0.449261	0.71074	0.11891	0.461169	0.207704	0.028336	10.5689
10	-22118.5	-22043	-75.4513	1.37095	0.535953	0.771283	1.2326	0.959927	0.3143	0.879597	0.00355108	0.859497	0.17861	0.425185	0.00226587	0.340776	0.616848	0.415266	0.438192	0.52822	0.0202625	0.393521	0.150634	0.207588	10.645
20	-22121.3	-22047.4	-73.9304	1.13966	0.57424	0.523944	1.16736	1.01708	0.234145	0.975334	0.0049832	0.968759	0.201637	0.533572	0.001073	0.359081	0.676753	0.393182	0.386993	0.605917	0.0726143	0.4034	0.133145	0.120063	10.4929
30	-22123	-22046.7	-76.2924	1.27879	0.531987	0.744293	1.25078	0.844226	0.171505	0.904851	0.00323862	0.969552	0.176215	0.472898	0.00308051	0.234798	0.705821	0.414959	0.527351	0.776231	0.201673	0.352983	0.0386674	0.125242	10.7291
40	-22120.5	-22047.3	-73.1533	1.12653	0.613044	0.753571	1.18421	0.858083	0.309823	0.740361	0.00322773	0.84384	0.150807	0.360978	0.00208134	0.357389	0.549742	0.434666	0.508304	0.736946	0.258223	0.352983	0.0817375	0.188678	10.4152
50	-22126.4	-22052.8	-73.5924	1.08252	0.709915	0.732318	1.12212	0.816797	0.324124	0.875646	0.00360854	1.04586	0.125416	0.361762	0.00631839	0.333197	0.625352	0.49081	0.396031	0.470068	0.137004	0.434773	0.291038	0.0744679	10.4591
60	-22122.3	-22047.1	-75.279	1.20043	0.686749	0.575294	1.23627	1.01131	0.287351	1.02289	0.00369448	0.911875	0.152043	0.400977	0.00134492	0.404277	0.58339	0.470919	0.415974	0.534764	0.246821	0.19723	0.247513	0.0366857	10.6278
70	-22126	-22053.3	-72.6381	1.106	0.529599	0.528177	1.167	0.980437	0.257022	0.97532	0.00704206	0.898802	0.190161	0.450042	0.00100982	0.431677	0.54944	0.345889	0.469466	0.656976	0.193269	0.347381	0.144805	0.134186	10.3637
80	-22122.2	-22049.7	-72.5336	0.994799	0.463721	0.563044	1.17298	0.822443	0.293078	0.962539	0.00111693	0.924692	0.162542	0.470755	0.00277164	0.432466	0.511921	0.458032	0.474011	0.625633	0.280208	0.394471	0.142259	0.19978	10.3533
90	-22124	-22049.6	-74.4487	1.01695	0.578549	0.768765	1.21279	0.992892	0.264602	1.05195	0.00170791	0.924692	0.161874	0.425251	0.00164099	0.432466	0.497647	0.390722	0.575741	0.596904	0.152626	0.241864	0.0426197	0.21252	10.5448
100	-22126.5	-22048.1	-78.3673	1.18061	0.602651	0.576681	1.2658	0.891807	0.273006	1.13215	0.000663121	1.12965	0.237962	0.452393	0.00503279	0.107198	0.53004	0.336285	0.622634	0.751647	0.297836	0.284411	0.0409276	0.217248	10.9366
110	-22123.6	-22048.8	-74.8157	1.12958	0.565615	0.681733	1.18265	1.12559	0.294618	0.87281	0.00428744	0.922187	0.212822	0.405053	0.000719737	0.183316	0.688091	0.384027	0.567378	0.707585	0.306855	0.240179	0.0341239	0.0722491	10.5815
120	-22121.3	-22045.9	-75.3423	1.21941	0.472376	0.745492	1.40596	0.967506	0.310108	0.82686	0.00355204	0.95388	0.195619	0.434577	0.00273879	0.210842	0.601972	0.435389	0.5274	0.634488	0.232406	0.301117	0.124766	0.0276672	10.6341
130	-22123.1	-22044	-79.1286	1.18216	0.616733	0.791102	1.38955	1.02887	0.261019	0.82686	0.00425291	1.06818	0.1788	0.488413	0.00131173	0.25808	0.670477	0.398468	0.413441	0.675342	0.146029	0.439614	0.0286187	0.145443	11.0128
140	-22124.3	-22051.6	-72.741	1.0431	0.484401	0.728743	1.37093	0.871389	0.363675	0.966107	0.00486559	0.703586	0.175113	0.437507	3.9397e-05	0.218795	0.561692	0.436676	0.429877	0.56297	0.239855	0.295675	0.193558	0.285443	10.374
150	-22122.8	-22044.6	-78.1141	1.31181	0.686158	0.547717	1.41221	0.968834	0.299971	0.930273	0.00516166	0.888383	0.130391	0.455093	3.48443e-05	0.218795	0.554139	0.436294	0.379038	0.633958	0.421645	0.264549	0.0952585	0.271594	10.9113
160	-22127.5	-22048.5	-79.0173	1.29846	0.780377	0.452339	1.42052	1.01104	0.225572	0.898102	0.00100244	0.819777	0.102279	0.445609	0.00381018	0.0657575	0.597529	0.502283	0.561008	0.810921	0.473481	0.275158	0.177069	0.0795331	11.0016
170	-22128	-22053.7	-74.2969	1.10745	0.587731	0.420168	1.20304	0.845715	0.287848	0.900347	0.000927421	1.13416	0.182581	0.46423	0.00287505	0.0394108	0.695633	0.458316	0.520491	0.597171	0.382517	0.530852	0.0635036	0.104618	10.5296
180	-22119.2	-22046.5	-72.6793	1.35926	0.557216	0.649224	1.08007	0.900273	0.243116	0.95198	0.00241051	0.924244	0.162468	0.394275	0.00450308	0.0800471	0.633845	0.424226	0.473863	0.622682	0.263152	0.408314	0.0475213	0.185142	10.3678
190	-22118.6	-22042.1	-76.4772	1.16527	0.517805	0.643992	1.36771	0.926614	0.272752	0.959371	0.0015128	1.05975	0.172396	0.413647	0.0024286	0.218971	0.678416	0.459166	0.511596	0.604293	0.317925	0.220591	0.109939	0.123466	10.7476
200	-22121	-22043.6	-77.436	1.29526	0.653693	0.645356	1.3448	0.743029	0.338287	1.03088	0.000636317	0.950899	0.122293	0.443535	0.00190353	0.240693	0.573502	0.457497	0.462283	0.587196	0.295661	0.307629	0.203116	0.145351	10.8435
210	-22124	-22051	-72.9248	0.967589	0.569846	0.619609	1.23086	0.827793	0.321035	0.803515	0.000775725	0.916965	0.137564	0.349493	0.00569413	0.148055	0.615446	0.460378	0.386762	0.681579	0.469282	0.526878	0.167071	0.18619	10.3924
220	-22119.3	-22044	-75.3051	1.19742	0.594869	0.708966	1.44735	0.933542	0.311546	0.824325	0.000831698	0.769395	0.128743	0.445637	0.00499201	0.0327939	0.720363	0.433816	0.46054	0.630379	0.290514	0.429354	0.0675171	0.197519	10.6304
230	-22124.8	-22044.5	-80.3408	1.09401	0.628142	0.671241	1.22525	0.87207	0.278656	1.14484	0.00167255	0.959482	0.137334	0.416584	0.0034507	0.241458	0.611478	0.423965	0.566421	0.600177	0.319452	0.533204	0.250457	0.154638	11.134
240	-22119.3	-22045.3	-74.0692	1.21954	0.573743	0.623716	1.31111	0.904179	0.278656	0.855757	0.00206917	0.98043	0.183606	0.434352	0.00336439	0.247692	0.747292	0.396209	0.370925	0.586385	0.260778	0.276607	0.170208	0.0802048	10.5068
250	-22123.9	-22048.4	-75.5408	1.2229	0.627153	0.554784	1.53041	0.751949	0.357481	0.797167	0.00668852	0.810091	0.132828	0.428523	0.00071814	0.0943171	0.643172	0.425813	0.533862	0.67882	0.416462	0.298582	0.173662	0.168595	10.654
260	-22123	-22048.3	-74.7765	1.34624	0.494244	0.670056	1.02337	1.00778	0.306516	0.956951	0.000195744	0.904921	0.187367	0.406811	0.00450219	0.182146	0.829178	0.432294	0.399825	0.667254	0.329645	0.313198	0.0447391	0.070323	10.5776
270	-22129.1	-22049.8	-79.267	1.25657	0.464709	0.751308	1.5675	1.08282	0.357052	1.11499	0.000977103	0.930124	0.166421	0.309279	0.00410361	0.215089	0.671272	0.411849	0.392785	0.561703	0.251113	0.418943	0.0150156	0.0829728	11.0266
280	-22122.4	-22044.8	-77.6479	1.1598	0.671499	0.623714	1.29513	0.920883	0.21978	0.872089	0.00498943	0.875998	0.175604	0.436831	0.0035864	0.136662	0.718425	0.443961	0.624372	0.711354	0.365503	0.450773	0.0593411	0.0943961	10.8647
290	-22117.1	-22043.8	-73.3316	1.11153	0.563207	0.673916	1.13753	0.8355	0.300297	0.773586	0.00047167	1.01406	0.168063	0.411859	0.00518068	0.186927	0.751466	0.446959	0.47537	0.604047	0.298434	0.439512	0.0702215	0.164925	10.4331
300	-22123.2	-22046.7	-76.518	1.15006	0.51262	0.624889	1.28093	0.958908	0.341076	0.789492	0.000905359	1.2143	0.145221	0.376442	0.00499238	0.0806788	0.632412	0.446756	0.481924	0.65035	0.261863	0.440579	0.166495	0.190808	10.7517
310	-22120.8	-22048.1	-72.7466	1.30013	0.473357	0.545391	1.09841	0.826228	0.305078	0.867204	0.00176232	1.01332	0.145062	0.437373	0.00211003	0.0883674	0.624751	0.469877	0.491402	0.60322	0.485952	0.323105	0.0987103	0.173747	10.3746
320	-22126.1	-22051.9	-74.1724	0.979159	0.554769	0.598247	1.22046	0.947833	0.270469	0.733907	0.00106409	1.05783	0.140532	0.45714	0.0060171	0.215397	0.653172	0.443549	0.513371	0.568755	0.242399	0.500584	0.213917	0.198569	10.5171
330	-22120.5	-22044.9	-75.5972	1.35351	0.662404	0.619499	1.17705	0.882882	0.348032	0.832804	0.00608627	0.872049	0.151448	0.372572	0.00294162	0.132059	0.618038	0.409801	0.547608	0.56432	0.363679	0.394288	0.114476	0.234076	10.6596
340	-22123.8	-22049.7	-74.1102	1.04075	0.53988	0.678687	1.31386	0.986336	0.294961	0.825218	0.00384857	1.01424	0.111807	0.372572	0.0031638	0.261446	0.643809	0.454936	0.458082	0.402446	0.39389	0.40408	0.125226	0.181674	10.5109
350	-22128.7	-22050.7	-77.9665	0.924123	0.558507	0.716313	1.56191	0.920008	0.270289	0.939616	0.005102	1.10038	0.166616	0.427239	0.00215163	0.0806507	0.601071	0.447822	0.50433	0.609985	0.273124	0.389208	0.0501447	0.347966	10.8965
360	-22121.7	-22048.9	-72.7232	1.24717	0.555871	0.699525	1.37001	0.786105	0.292565	0.693958	0.000754288	0.859223	0.148873	0.449728	0.006927	0.066871	0.589745	0.487703	0.542322	0.645752	0.31968	0.368811	0.0514284	0.189197	10.3722
370	-22120.7	-22042.1	-78.6434	1.1757	0.611389	0.633304	1.35731	0.878023	0.37261	0.901113	0.00340923	1.08301	0.141454	0.460331	0.00203517	0.184479	0.559558	0.46007	0.446792	0.660906	0.320608	0.291137	0.205452	0.215551	10.9642
380	-22120.3	-22044.9	-75.4083	1.25469	0.681144	0.552278	1.14952	0.933805	0.299004	0.846639	0.00408684	1.05121	0.155107	0.399135	0.00183483	0.0324413	0.584819	0.449187	0.550595	0.542831	0.249965	0.489122	0.18509	0.228234	10.6407
390	-22121.3	-22046.8	-74.4978	1.04501	0.577672	0.563283	1.33222	1.04089	0.266008	0.925401	0.00476916	0.841418	0.177265	0.491643	0.000553087	0.114299	0.641984	0.408123	0.583743	0.534047	0.386477	0.386819	0.13632	0.091739	10.5497
400	-22120.4	-22046.9	-73.498	1.26173	0.538534	0.600359	1.3224	0.885421	0.230819	0.925401	0.00540986	0.896538	0.189141	0.370878	0.000662027	0.0331541	0.684048	0.390883	0.558951	0.625577	0.370377	0.323073	0.106082	0.130262	10.4497
410	-22119.9	-22046.5	-73.3418	1.17019	0.535218	0.649099	1.287	0.914657	0.30557	0.763089	0.00137088	0.870725	0.171349	0.456951	0.00301831	0.197859	0.637601	0.411359	0.574856	0.67127	0.156092	0.398965	0.0347074	0.223137	10.4341
420	-22119.3	-22044.9	-74.4538	1.04014	0.539223	0.60726	1.2447	0.914657	0.284705	0.952689	0.00128713	0.887085	0.175969	0.42447	0.00241604	0.319803	0.661927	0.419082	0.536237	0.550604	0.294518	0.404568	0.0608072	0.223137	10.5453
430	-22129.2	-22054.2	-75.0061	0.905643	0.704302	0.641302	1.14517	0.941635	0.30935	0.782957	0.00785312	1.00603	0.184118	0.407479	0.003106	0.318206	0.709883	0.357671	0.473537	0.661514	0.427592	0.438293	0.0332648	0.141601	10.6005
440	-22126.9	-22057	-69.9459	1.12465	0.550697	0.51305	1.17668	1.03579	0.316114	0.903023	0.000274764	0.901842	0.153006	0.304849	0.00620112	0.016051	0.645095	0.427711	0.324666	0.613115	0.361654	0.456243	0.140135	0.123637	10.0945
450	-22126.9	-22048.4	-78.5018	1.03361	0.558419	0.713914	1.33231	0.960124	0.354611	1.06438	0.00289131	0.93481	0.243768	0.387816	0.00151562	0.0159478	0.599648	0.401236	0.375687	0.816804	0.36472	0.501838	0.0535687	0.232465	10.9501
460	-22122.9	-22046	-76.9491	1.33198	0.613098	0.615662	1.29131	0.983826	0.359283	1.01408	0.00195255	0.997082	0.183378	0.319686	0.00129426	0.0732236	0.671234	0.396877	0.508611	0.45948	0.366215	0.403902	0.0165057	0.18613	10.7948
470	-22122.5	-22046.1	-76.455	1.17641	0.687365	0.586178	1.39209	0.891296	0.249069	0.925175	0.00157872	0.826392	0.217934	0.410655	0.00460449	0.0935606	0.57843	0.404452	0.433964	0.726469	0.481557	0.435688	0.000641256	0.221891	10.7454
480	-22122	-22045.2	-76.7391	1.12904	0.622861	0.646972	1.2455	0.908438	0.365736	0.993681	0.00230689	0.94921	0.103698	0.335324	0.00275549	0.0574695	0.585699	0.488459	0.557067	0.70344	0.39994	0.3196	0.0184421	0.338166	10.7738
490	-22121.6	-22045.9	-75.6406	1.39244	0.596118	0.66272	1.336	0.790188	0.315948	0.763741	0.0013149	0.826181	0.15099	0.378844	0.00337675	0.0792279	0.648352	0.434053	0.520767	0.873915	0.39994	0.293069	0.0207412	0.17603	10.664
500	-22117.9	-22043.5	-74.3972	1.1994	0.5781	0.580457	1.27151	0.827978	0.316317	0.950825	0.002079	0.857241	0.122499	0.394084	0.00690503	0.116888	0.7025	0.478067	0.516648	0.656047	0.407961	0.313939	0.117361	0.122818	10.5396
510	-22129.7	-22051.5	-78.2198	1.24332	0.583488	0.770649	1.36105	0.80594	0.403627	0.850871	0.00188801	0.924953	0.126416	0.308151	0.00225043	0.315465	0.833521	0.490452	0.436107	0.604076	0.0781363	0.542721	0.202022	0.0367687	10.9219
520	-22129.5	-22054	-75.4982	1.1448	0.535373	0.871283	1.27958	0.82194	0.261886	0.97603	0.000233335	0.977727	0.18185	0.465086	0.00779029	0.209879	0.597344	0.464303	0.515364	0.485906	0.17874	0.310057	0.35814	0.00641322	10.6497
530	-22126.7	-22050.8	-75.9074	1.24454	0.49928	0.731756	1.3099	0.895779	0.282159	1.01816	0.0013605	0.784502	0.115623	0.459917	0.00237586	0.179343	0.585387	0.459157	0.397713	0.367926	0.347628	0.525641	0.35814	0.124362	10.6906
540	-22130.1	-22050.7	-79.4005	1.12065	0.500572	0.802928	1.38206	0.802371	0.329698	0.845069	0.00462537	0.926322	0.200361	0.38859	0.000325602	0.471977	0.723174	0.373129	0.628269	0.525692	0.325013	0.377094	0.246737	0.0652929	11.04
550	-22122.5	-22047.8	-74.672	1.20479	0.583707	0.716199	1.23172	0.910652	0.369314	0.863532	0.0019559	0.941803	0.167505	0.38859	0.00284347	0.259809	0.52562	0.424371	0.462201	0.642094	0.17129	0.277916	0.403534	0.0176522	10.5671
560	-22122.4	-22045.5	-76.9689	1.19667	0.616545	0.81264	1.19043	0.888863	0.293032	0.80695	0.00324514	1.12057	0.141569	0.386451	0.00395597	0.0415746	0.733372	0.417461	0.494894	0.566416	0.309649	0.508394	0.184299	0.0798114	10.7968
570	-22117.6	-22042.6	-74.9202	1.08206	0.592812	0.675978	1.36198	0.809567	0.339147	0.844513	0.0035992	0.999594	0.213802	0.40055	0.00125087	0.110589	0.653663	0.395798	0.495846	0.66398	0.347133	0.473504	0.0419295	0.084617	10.5919
580	-22118.6	-22043.4	-75.2248	1.19598	0.535468	0.776441	1.08557	0.89341	0.322077	0.853484	0.00339089	1.00738	0.145191	0.40055	0.00236485	0.163803	0.550156	0.457008	0.499996	0.546637	0.363564	0.39045	0.194349	0.235107	10.6224
590	-22124.6	-22044.4	-80.2119	1.23867	0.635049	0.833017	1.40318	0.951746	0.277585	1.0101	0.00295795	0.93939	0.146724	0.441765	0.0030086	0.0690274	0.599561	0.461206	0.576842	0.587388	0.363564	0.186999	0.198257	0.195056	11.1211
600	-22127.4	-22049.5	-77.8215	1.05548	0.68648	0.761201	1.41282	0.895261	0.268063	0.852774	0.00274032	0.903648	0.182374	0.424365	0.00092179	0.306405	0.616369	0.431569	0.433445	0.589154	0.47648	0.203837	0.200787	0.177882	10.8821
610	-22122.1	-22046.9	-75.1458	1.1456	0.584038	0.620193	1.15239	0.952806	0.227577	0.927769	0.00179426	0.852246	0.184113	0.4035	0.00536365	0.137435	0.671003	0.457305	0.553278	0.57118	0.296515	0.533885	0.214949	0.121545	10.6145
620	-22118.8	-22045.3	-73.463	0.905689	0.612635	0.635303	1.1566	0.810613	0.299919	0.88485	0.00190964	0.878934	0.139915	0.436433	0.00248963	0.332704	0.715591	0.456284	0.506544	0.743036	0.325039	0.418367	0.0618022	0.121545	10.4462
630	-22121.5	-22052.1	-69.3976	0.924188	0.532766	0.577469	1.20277	0.775811	0.299413	0.924776	0.000562569	0.89136	0.153986	0.374031	0.00380068	0.207762	0.611228	0.435661	0.539302	0.571326	0.36035	0.363257	0.146477	0.14336	10.0397
640	-22124.5	-22050.5	-73.9606	1.19834	0.552075	0.647928	1.11071	0.769781	0.275418	0.699779	0.00382964	0.916536	0.12553	0.469997	0.00285661	0.32759	0.58138	0.491561	0.642069	0.719043	0.285405	0.425693	0.146477	0.103964	10.496
650	-22119.7	-22046.2	-73.5133	1.1021	0.540718	0.679987	1.10284	0.849197	0.25949	0.968565	0.00227312	0.911549	0.215893	0.447153	0.00344068	0.110214	0.666412	0.380271	0.464935	0.538052	0.421592	0.519304	0.115069	0.152173	10.4512
660	-22125.2	-22049.6	-75.5242	0.980746	0.602137	0.633836	1.15948	1.08578	0.327016	0.881678	0.00187688	0.836851	0.175649	0.421689	0.00368464	0.197156	0.524091	0.389198	0.492782	0.63053	0.434813	0.536143	0.20916	0.128032	10.6523
670	-22124.8	-22049.5	-75.3262	1.12116	0.698683	0.664206	1.53141	0.849852	0.310918	0.725382	0.00381412	0.853056	0.212628	0.408514	0.000845927	0.0295294	0.645923	0.411381	0.520872	0.708775	0.231062	0.496105	0.149982	0.0584175	10.6325
680	-22124.9	-22045.5	-79.4019	1.37823	0.70231	0.674851	1.18754	0.930236	0.354673	0.858495	0.0038309	0.942187	0.152937	0.422658	0.00283192	0.0217686	0.601079	0.454751	0.55166	0.655511	0.312659	0.379079	0.17745	0.275352	11.0401
690	-22126.9	-22050.2	-76.7083	1.29395	0.458552	0.607248	1.34386	0.952695	0.278554	1.01396	0.00442593	1.03062	0.189794	0.392034	0.00247301	0.110878	0.533167	0.416725	0.5837	0.522462	0.238482	0.393803	0.363883	0.0394605	10.7707
700	-22121.2	-22044.1	-77.0783	1.21616	0.541837	0.610198	1.45214	0.888218	0.324226	0.890336	0.00168894	0.94925	0.210015	0.440031	0.00469567	0.159927	0.537504	0.405811	0.365204	0.736683	0.363529	0.382294	0.278133	0.0498485	10.8077
710	-22122	-22045.3	-76.6673	1.1396	0.663779	0.61301	1.30632	0.963605	0.319387	0.799657	0.00248582	0.968413	0.196889	0.448329	0.00114516	0.29335	0.477645	0.441483	0.434477	0.611602	0.383914	0.320961	0.283612	0.0969674	10.7666
720	-22116.6	-22039.5	-77.0363	1.23074	0.522302	0.713452	1.27819	0.872238	0.28832	0.867262	0.000245649	0.901397	0.172073	0.47277	0.00406011	0.182705	0.622039	0.428474	0.552692	0.691827	0.396787	0.350913	0.136101	0.118947	10.8035
730	-22120.9	-22045.5	-75.3932	1.34322	0.628872	0.659029	1.27457	0.863229	0.263768	0.991194	0.0019552	0.854723	0.0914309	0.44065	0.00179614	0.144957	0.624282	0.513402	0.472703	0.492135	0.449269	0.370477	0.136101	0.0214519	10.6392
740	-22116.9	-22044.2	-72.7881	1.20701	0.593687	0.516516	1.27457	0.925571	0.36793	0.773973	0.000842078	0.960948	0.13332	0.41327	0.00355123	0.0661224	0.61452	0.452047	0.458291	0.620598	0.367443	0.388123	0.232678	0.00769941	10.3787
750	-22120.8	-22044.8	-76.0008	1.23773	0.651015	0.575582	1.14835	0.893112	0.362365	0.87127	0.00372473	0.988754	0.172059	0.441188	9.53205e-05	0.296424	0.625451	0.46881	0.486556	0.608238	0.282423	0.314028	0.224722	0.0480782	10.7
760	-22122.6	-22046.9	-75.6435	1.10487	0.470436	0.718278	1.26697	0.843084	0.238724	0.864757	0.00227117	1.02222	0.116708	0.374463	0.0013587	0.123178	0.679979	0.450239	0.622099	0.793187	0.343504	0.40597	0.159308	0.0626328	10.6642
770	-22118.9	-22045.3	-73.6139	1.15347	0.522882	0.679513	1.36605	0.82875	0.312111	0.774646	0.00115786	0.980395	0.102761	0.347296	0.00265908	0.137659	0.72724	0.489792	0.604351	0.628222	0.311665	0.275921	0.159308	0.055444	10.4613
780	-22132.1	-22052.5	-79.6508	1.26343	0.566269	0.711555	1.1481	0.883469	0.33817	1.12136	0.0028211	1.00681	0.140561	0.350757	0.00585623	0.212885	0.85379	0.475618	0.39846	0.716722	0.218577	0.465535	0.0738373	0.110409	11.065
790	-22127.4	-22052.5	-74.8435	1.2499	0.468529	0.673267	1.14408	0.851427	0.363797	0.862172	0.000725162	1.17227	0.161642	0.325648	0.00602079	0.197376	0.636055	0.455147	0.353892	0.388986	0.405817	0.498687	0.153602	0.21522	10.5843
800	-22121.5	-22044.8	-76.6493	1.22487	0.647661	0.659849	1.1237	1.08301	0.303715	0.840612	0.00339049	0.945764	0.176547	0.469863	0.00526905	0.125772	0.641393	0.440403	0.503458	0.540793	0.434187	0.308181	0.266194	0.0202094	10.7648
810	-22120	-22045.1	-74.8551	1.22165	0.580852	0.528211	1.16872	0.841695	0.295054	0.804968	0.00141868	0.963809	0.124328	0.477936	0.00380049	0.183153	0.670587	0.456975	0.607315	0.634454	0.263997	0.503315	0.211109	0.0420646	10.5854
820	-22121.3	-22047.7	-73.6168	1.22165	0.559218	0.68343	1.17647	0.691707	0.37505	0.900146	0.003333	0.82557	0.16076	0.384805	0.000737299	0.149555	0.638355	0.435939	0.516224	0.797306	0.319862	0.332907	0.185862	0.102693	10.4616
